id,name,location,address,opening_time,closing_time,dine_in,delivery,pickup
102,ZUS Coffee – AEON Mall Cheras Selatan,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
103,"ZUS Coffee – Setia Prima, Setia Alam",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
104,ZUS Coffee – The Glenz @Glenmarie,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
105,ZUS Coffee – Puchong Utama,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
106,ZUS Coffee – Sunway Pyramid,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
107,ZUS Coffee – Setapak Central Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
108,ZUS Coffee – The Exchange TRX,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
109,ZUS Coffee – Taman Sri Manja,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
110,ZUS Coffee – Eco Grandeur,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
111,ZUS Coffee – Jaya Shopping Centre,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
112,ZUS Coffee – Eco Majestic Semenyih,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
113,"ZUS Coffee – Gateway@KLIA2 (Departure Hall, Level 3)",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
114,"ZUS Coffee – Gateway@KLIA2 (Arrival Hall, Level 2)",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
115,ZUS Coffee – Taipan USJ,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
116,ZUS Coffee – Sunway Velocity Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
117,ZUS Coffee – Sapura Lot 91 KLCC,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
118,"ZUS Coffee – Taman Myra Meranti, Puchong",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
119,ZUS Coffee – OUG Parklane,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
120,ZUS Coffee – Centro Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
121,ZUS Coffee – Lotus’s Klang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
122,ZUS Coffee – Pavilion Damansara Heights,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
123,ZUS Coffee – Shaftsbury Square,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
124,ZUS Coffee – SS2,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
125,ZUS Coffee – Sunway Velocity Two,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
126,ZUS Coffee – Kidzania Kuala Lumpur,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
127,ZUS Coffee – Seventeen Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
128,ZUS Coffee – SHELL Cyberjaya Autoville,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
129,ZUS Coffee – Cybersouth Dengkil,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
130,ZUS Coffee – UCSI University KL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
131,ZUS Coffee – Avenue K,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
132,ZUS Coffee – Centrepoint Bandar Utama,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
133,ZUS Coffee – Setiawangsa,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
